time,open,high,low,close,volume
2020-05-21 21:00:00,9067.51,9271.00,8933.52,9170.00,58943
2020-05-22 21:00:00,9170.00,9307.85,9070.00,9179.15,43526
2020-05-23 21:00:00,9179.01,9298.00,8700.00,8720.34,70380
2020-05-24 21:00:00,8718.14,8979.66,8642.72,8900.35,62834
2020-05-25 21:00:00,8900.35,9017.67,8700.00,8841.18,58300
2020-05-26 21:00:00,8841.00,9225.00,8811.73,9204.07,68910
2020-05-27 21:00:00,9204.07,9625.47,9110.00,9575.89,74111
2020-05-28 21:00:00,9575.87,9605.26,9330.00,9427.07,57374
2020-05-29 21:00:00,9426.60,9740.00,9331.23,9697.72,55665
2020-05-30 21:00:00,9697.72,9700.00,9381.41,9448.27,48334
2020-05-31 21:00:00,9448.27,10380.00,9421.67,10200.77,76649
2020-06-01 21:00:00,10202.71,10228.99,9266.00,9518.04,108971
2020-06-02 21:00:00,9518.02,9690.00,9365.21,9666.24,46253
2020-06-03 21:00:00,9666.32,9881.63,9450.00,9789.06,57456
2020-06-04 21:00:00,9788.14,9854.75,9581.00,9621.16,47788
2020-06-05 21:00:00,9621.17,9735.00,9531.05,9666.30,32753
2020-06-06 21:00:00,9666.85,9802.00,9372.46,9746.99,57953
2020-06-07 21:00:00,9746.99,9800.00,9633.00,9782.01,40665
2020-06-08 21:00:00,9782.00,9877.00,9570.00,9772.43,46024
2020-06-09 21:00:00,9772.44,9992.72,9704.18,9885.00,47131
2020-06-10 21:00:00,9885.22,9964.00,9113.00,9280.40,94419
2020-06-11 21:00:00,9278.88,9557.12,9232.51,9465.13,50119
2020-06-12 21:00:00,9464.96,9494.73,9351.00,9473.34,27760
2020-06-13 21:00:00,9473.34,9480.99,9245.00,9342.10,30056
2020-06-14 21:00:00,9342.10,9495.00,8910.45,9426.02,86108
2020-06-15 21:00:00,9426.05,9589.00,9373.09,9525.59,52052
2020-06-16 21:00:00,9526.97,9565.00,9236.61,9465.14,48046
2020-06-17 21:00:00,9465.13,9489.00,9280.00,9386.32,37382
2020-06-18 21:00:00,9386.32,9438.30,9215.79,9310.23,45331
2020-06-19 21:00:00,9310.23,9395.00,9170.95,9358.95,30329
2020-06-20 21:00:00,9358.95,9422.00,9281.54,9294.69,24317
2020-06-21 21:00:00,9294.69,9780.00,9277.09,9685.69,57895
2020-06-22 21:00:00,9685.69,9720.00,9577.03,9624.89,41031
2020-06-23 21:00:00,9624.33,9670.00,9208.00,9296.49,61572
2020-06-24 21:00:00,9298.33,9340.00,9009.69,9249.49,55832
2020-06-25 21:00:00,9249.49,9298.00,9045.45,9162.21,50292
2020-06-26 21:00:00,9162.21,9196.24,8833.00,9012.00,46291
2020-06-27 21:00:00,9012.00,9191.00,8948.06,9116.35,30688
2020-06-28 21:00:00,9116.16,9238.00,9024.67,9192.56,42120
