time,open,high,low,volume
2020-08-24 12:00:00,4.16280000,4.25290000,4.10000000,732685.27000000
2020-08-24 13:00:00,4.21050000,4.38760000,4.17550000,1217247.58000000
2020-08-24 14:00:00,4.38290000,4.49990000,4.30000000,2734044.43000000
2020-08-24 15:00:00,4.42760000,4.42760000,4.27500000,1016123.62000000
2020-08-24 16:00:00,4.28100000,4.48500000,4.27700000,775486.28000000
2020-08-24 17:00:00,4.44900000,4.67000000,4.35000000,1620862.78000000
2020-08-24 18:00:00,4.66090000,4.77000000,4.59640000,1677260.30000000
2020-08-24 19:00:00,4.69830000,4.79830000,4.57710000,1341622.22000000
2020-08-24 20:00:00,4.69940000,4.76000000,4.54000000,954237.69000000
2020-08-24 21:00:00,4.57590000,4.68290000,4.48000000,925631.26000000
2020-08-24 22:00:00,4.61290000,4.88000000,4.57470000,1112429.22000000
2020-08-24 23:00:00,4.86470000,4.92200000,4.71000000,1848757.82000000
2020-08-25 00:00:00,4.71300000,4.89350000,4.66920000,1273827.46000000
2020-08-25 01:00:00,4.82790000,4.86860000,4.73610000,963933.80000000
2020-08-25 02:00:00,4.85140000,4.99470000,4.84330000,1826041.02000000
2020-08-25 03:00:00,4.85890000,4.87000000,4.68000000,1715627.04000000
2020-08-25 04:00:00,4.71160000,4.84800000,4.57000000,1698827.75000000
2020-08-25 05:00:00,4.71080000,4.74560000,4.52500000,1321057.07000000
2020-08-25 06:00:00,4.70920000,4.75370000,4.63560000,715213.19000000
2020-08-25 07:00:00,4.68680000,4.92900000,4.68340000,1000022.28000000
2020-08-25 08:00:00,4.88240000,4.98000000,4.78380000,1055523.44000000
2020-08-25 09:00:00,4.93010000,4.95000000,4.65000000,1929225.77000000
2020-08-25 10:00:00,4.78500000,4.91090000,4.74260000,1183383.89000000
2020-08-25 11:00:00,4.82760000,4.83100000,4.61880000,1523306.02000000
2020-08-25 12:00:00,4.73430000,4.81000000,4.65500000,1087306.86000000
2020-08-25 13:00:00,4.78950000,5.35000000,4.77000000,4833685.69000000
2020-08-25 14:00:00,5.19210000,5.42340000,5.10000000,2681028.33000000
2020-08-25 15:00:00,5.36500000,5.42000000,5.17500000,1943921.07000000
2020-08-25 16:00:00,5.31720000,5.49300000,5.30950000,1333265.81000000
2020-08-25 17:00:00,5.39900000,5.69830000,5.31470000,1847416.50000000
2020-08-25 18:00:00,5.66110000,5.77000000,5.35750000,2470103.88000000
2020-08-25 19:00:00,5.41180000,5.47940000,5.26000000,1881849.18000000
2020-08-25 20:00:00,5.35140000,5.54150000,5.33570000,1285985.64000000
2020-08-25 21:00:00,5.54120000,5.60000000,5.38530000,1296857.04000000
2020-08-25 22:00:00,5.50140000,5.68400000,5.44400000,1401349.00000000
2020-08-25 23:00:00,5.67620000,5.68500000,5.31250000,1480427.03000000
2020-08-26 00:00:00,5.36640000,5.53320000,5.36220000,898156.44000000
2020-08-26 01:00:00,5.42940000,5.52000000,5.39820000,913499.55000000
2020-08-26 02:00:00,5.40320000,5.48610000,5.30000000,1047096.62000000
2020-08-26 03:00:00,5.31520000,5.37990000,5.18660000,1380968.89000000
2020-08-26 04:00:00,5.24000000,5.43000000,5.10150000,1729305.90000000
2020-08-26 05:00:00,5.37510000,5.57740000,5.28200000,1443467.32000000
2020-08-26 06:00:00,5.47590000,5.74320000,5.45690000,1535176.01000000
2020-08-26 07:00:00,5.55430000,5.62560000,5.46930000,962088.59000000
2020-08-26 08:00:00,5.53210000,5.60200000,5.34230000,912649.75000000
2020-08-26 09:00:00,5.42550000,5.54900000,5.33590000,1036603.16000000
2020-08-26 10:00:00,5.40520000,5.64000000,5.39660000,1243675.15000000
2020-08-26 11:00:00,5.57470000,6.03990000,5.55550000,3204129.19000000
2020-08-26 12:00:00,5.96340000,6.35000000,5.90000000,2976607.87000000
2020-08-26 13:00:00,6.32850000,6.57000000,6.14410000,3967384.84000000
2020-08-26 14:00:00,6.40160000,6.47260000,6.22220000,1880389.49000000
2020-08-26 15:00:00,6.32850000,6.40000000,6.18200000,1267640.23000000
2020-08-26 16:00:00,6.30610000,6.40000000,6.20590000,920916.06000000
2020-08-26 17:00:00,6.28860000,6.41830000,6.19000000,1220458.55000000
2020-08-26 18:00:00,6.25080000,6.34000000,5.90000000,2300043.07000000
2020-08-26 19:00:00,6.10620000,6.26270000,5.81000000,1420802.89000000
2020-08-26 20:00:00,5.81000000,6.20090000,5.80220000,1371827.10000000
2020-08-26 21:00:00,6.07080000,6.29020000,6.07080000,1183294.57000000
2020-08-26 22:00:00,6.14320000,6.42000000,6.14310000,1037559.66000000
2020-08-26 23:00:00,6.28160000,6.29860000,5.99200000,1272960.09000000
2020-08-27 00:00:00,6.09800000,6.26250000,6.07520000,648885.41000000
2020-08-27 01:00:00,6.24400000,6.36000000,6.10110000,729849.81000000
2020-08-27 02:00:00,6.14110000,6.25640000,6.10470000,741255.37000000
2020-08-27 03:00:00,6.16910000,6.71800000,6.15410000,1958941.75000000
2020-08-27 04:00:00,6.71150000,6.80000000,6.57930000,2407061.05000000
2020-08-27 05:00:00,6.70150000,6.70440000,6.27000000,2117104.75000000
2020-08-27 06:00:00,6.29910000,6.49150000,6.28500000,1177011.02000000
2020-08-27 07:00:00,6.39010000,6.40080000,5.82000000,4299412.32000000
2020-08-27 08:00:00,6.09000000,6.09570000,5.60550000,4067845.57000000
2020-08-27 09:00:00,5.74650000,5.98800000,5.65010000,2495572.73000000
2020-08-27 10:00:00,5.87810000,6.33000000,5.86330000,3022742.61000000
2020-08-27 11:00:00,5.99350000,6.03970000,5.75000000,2221338.97000000
2020-08-27 12:00:00,5.97140000,6.04790000,5.79100000,1148641.56000000
2020-08-27 13:00:00,5.88430000,5.89870000,5.27620000,4013924.43000000
2020-08-27 14:00:00,5.39920000,5.58200000,5.20010000,3036965.39000000
2020-08-27 15:00:00,5.54490000,5.69900000,5.45640000,1252670.43000000
2020-08-27 16:00:00,5.68080000,5.80000000,5.49160000,1464554.67000000
2020-08-27 17:00:00,5.59180000,5.71990000,5.51390000,611252.74000000
2020-08-27 18:00:00,5.60440000,5.76000000,5.58710000,480891.93000000
2020-08-27 19:00:00,5.70570000,5.81590000,5.57000000,892068.21000000
2020-08-27 20:00:00,5.58420000,5.71600000,5.58000000,344531.38000000
2020-08-27 21:00:00,5.65690000,5.91040000,5.62000000,846514.33000000
2020-08-27 22:00:00,5.86520000,6.11840000,5.80590000,1694937.26000000
2020-08-27 23:00:00,5.92260000,6.02530000,5.79050000,1312948.22000000
2020-08-28 00:00:00,5.79080000,5.91540000,5.74080000,763272.90000000
2020-08-28 01:00:00,5.90210000,5.95210000,5.80970000,905111.62000000
2020-08-28 02:00:00,5.90480000,5.93000000,5.81100000,465774.37000000
2020-08-28 03:00:00,5.86460000,5.87020000,5.60800000,954740.30000000
2020-08-28 04:00:00,5.68040000,5.73400000,5.46200000,1455756.64000000
2020-08-28 05:00:00,5.50000000,5.71620000,5.49980000,841901.17000000
2020-08-28 06:00:00,5.58260000,5.74910000,5.57530000,945626.03000000
2020-08-28 07:00:00,5.72590000,5.85340000,5.68060000,727089.44000000
2020-08-28 08:00:00,5.83360000,5.83680000,5.68820000,583519.11000000
2020-08-28 09:00:00,5.73120000,5.98280000,5.70530000,1066623.36000000
2020-08-28 10:00:00,5.85910000,6.02400000,5.84370000,1077491.22000000
2020-08-28 11:00:00,6.00800000,6.17000000,5.95540000,1660397.57000000
2020-08-28 12:00:00,6.05040000,6.32020000,6.02530000,2762159.18000000
2020-08-28 13:00:00,6.24750000,6.35000000,6.05450000,1557667.14000000
2020-08-28 14:00:00,6.06680000,6.29330000,6.06460000,1014198.00000000
2020-08-28 15:00:00,6.16000000,6.27230000,6.14630000,508320.82000000
2020-08-28 16:00:00,6.18470000,6.33100000,6.17540000,709657.65000000
2020-08-28 17:00:00,6.29590000,6.31340000,6.09500000,656437.67000000
2020-08-28 18:00:00,6.14820000,6.26570000,6.10610000,383117.95000000
2020-08-28 19:00:00,6.24260000,6.27650000,6.07310000,539316.68000000
2020-08-28 20:00:00,6.16490000,6.23030000,5.98000000,586594.00000000
2020-08-28 21:00:00,6.17690000,6.19840000,6.00320000,460830.65000000
2020-08-28 22:00:00,6.04980000,6.15570000,6.04980000,418971.72000000
2020-08-28 23:00:00,6.07350000,6.18080000,6.03500000,424034.98000000
2020-08-29 00:00:00,6.16810000,6.21500000,6.15300000,334554.87000000
2020-08-29 01:00:00,6.16020000,6.16160000,6.03500000,498067.65000000
2020-08-29 02:00:00,6.11070000,6.20000000,6.07920000,312111.44000000
2020-08-29 03:00:00,6.19340000,6.21390000,6.14430000,451491.70000000
2020-08-29 04:00:00,6.20340000,6.45320000,6.17320000,1205527.58000000
2020-08-29 05:00:00,6.35380000,6.45470000,6.32000000,775092.33000000
2020-08-29 06:00:00,6.39460000,6.55600000,6.35770000,1110114.70000000
2020-08-29 07:00:00,6.51970000,6.54000000,6.26610000,1197838.17000000
2020-08-29 08:00:00,6.31150000,6.35290000,6.15200000,1066846.40000000
2020-08-29 09:00:00,6.28600000,6.34650000,6.19770000,560179.15000000
2020-08-29 10:00:00,6.26040000,6.33810000,6.16530000,608529.82000000
2020-08-29 11:00:00,6.19690000,6.28710000,6.17000000,740560.43000000
2020-08-29 12:00:00,6.25490000,6.38000000,6.24780000,780495.22000000
2020-08-29 13:00:00,6.28830000,6.51000000,6.20000000,1391594.00000000
2020-08-29 14:00:00,6.38870000,6.45160000,6.29460000,679789.30000000
2020-08-29 15:00:00,6.35100000,6.44990000,6.34850000,356099.89000000
